round_epochs,loss,tp,fp,tn,fn,categorical_accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_categorical_accuracy,val_precision,val_recall,val_auc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,lr,optimizer,regularizer
100,0.8057771921157837,7314.0,2156.0,57659.0,4649.0,0.7043383717536926,0.7723336815834045,0.6113851070404053,0.9343160390853882,1.4775054454803467,1917.0,2219.0,23416.0,3210.0,0.42890578508377075,0.463491290807724,0.3739028573036194,0.8211274743080139,tanh,256,0,100,128,1,RandomUniform,softmax,0.01,adam,l2
100,1.2244874238967896,3447.0,1999.0,57816.0,8516.0,0.5152553915977478,0.6329416036605835,0.28813841938972473,0.8451341390609741,1.2221049070358276,1295.0,730.0,24905.0,3832.0,0.521357536315918,0.6395061612129211,0.2525843679904938,0.8466488718986511,tanh,64,0.2,100,64,1,RandomNormal,softmax,0.01,adam,l1
100,1.1217817068099976,5287.0,2565.0,57250.0,6676.0,0.5841343998908997,0.673331618309021,0.44194599986076355,0.8720364570617676,1.4894479513168335,1533.0,1407.0,24228.0,3594.0,0.46420907974243164,0.5214285850524902,0.29900527000427246,0.787516713142395,tanh,16,0,100,64,1,GlorotNormal,softmax,0.05,adam,l1_l2
100,1.4851354360580444,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325048446655273,1.5099784135818481,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,tanh,128,0.6,100,64,5,GlorotNormal,softmax,0.01,nadam,l1
100,1.4853183031082153,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7328923940658569,1.5102357864379883,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,16,0.2,100,16,5,RandomUniform,softmax,0.01,nadam,None
100,0.34880807995796204,10258.0,1051.0,58764.0,1705.0,0.8804647922515869,0.9070651531219482,0.8574772477149963,0.9869071245193481,2.602391004562378,1648.0,2942.0,22693.0,3479.0,0.35595864057540894,0.35904139280319214,0.3214355409145355,0.7067711353302002,tanh,256,0,100,64,1,RandomNormal,softmax,0.01,adam,None
100,1.4852553606033325,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7326256036758423,1.5101348161697388,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,16,0.6,100,128,1,GlorotNormal,softmax,0.01,nadam,l1_l2
100,1.4852677583694458,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7329510450363159,1.5099425315856934,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,128,0.6,100,64,1,RandomNormal,softmax,0.01,nadam,l1_l2
100,0.5395552515983582,9345.0,1594.0,58221.0,2618.0,0.8167683482170105,0.8542828559875488,0.7811585664749146,0.9688423871994019,3.0562727451324463,1545.0,2704.0,22931.0,3582.0,0.33430856466293335,0.3636149764060974,0.3013458251953125,0.6580415368080139,relu,16,0,100,16,3,GlorotUniform,softmax,0.01,adam,None
100,0.1653434932231903,11212.0,593.0,59222.0,751.0,0.9424057602882385,0.9497670531272888,0.9372230768203735,0.9959295988082886,6.4997334480285645,1890.0,3134.0,22501.0,3237.0,0.3733177185058594,0.3761942684650421,0.3686366379261017,0.6774798631668091,relu,16,0,100,128,1,GlorotUniform,softmax,0.05,adam,None
