round_epochs,loss,tp,fp,tn,fn,categorical_accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_categorical_accuracy,val_precision,val_recall,val_auc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,lr,optimizer,regularizer
100,0.6845101714134216,7945.0,2064.0,57751.0,4018.0,0.7340968251228333,0.793785572052002,0.6641310453414917,0.9524118304252625,1.1402298212051392,2447.0,1847.0,23788.0,2680.0,0.5332553386688232,0.5698649287223816,0.47727715969085693,0.8823740482330322,sigmoid,64,0.2,100,128,1,GlorotUniform,softmax,0.001,nadam,l1_l2
100,1.4858633279800415,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7323665022850037,1.5102158784866333,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,tanh,16,0.2,100,64,5,RandomNormal,softmax,0.01,nadam,l2
100,1.4856680631637573,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325897812843323,1.5103495121002197,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,16,0.4,100,16,5,RandomUniform,softmax,0.01,adam,l1_l2
100,0.7260938286781311,8006.0,2127.0,57688.0,3957.0,0.7432082295417786,0.7900917530059814,0.6692301034927368,0.9474442601203918,1.039547324180603,2487.0,1562.0,24073.0,2640.0,0.5806514620780945,0.6142257452011108,0.48507899045944214,0.8935908079147339,sigmoid,128,0,100,16,1,GlorotNormal,softmax,0.001,nadam,l1_l2
100,1.430799961090088,262.0,241.0,59574.0,11701.0,0.3944662809371948,0.5208747386932373,0.021900860592722893,0.7702028751373291,1.5229556560516357,0.0,0.0,25635.0,5127.0,0.27306416630744934,0.0,0.0,0.7341733574867249,relu,128,0.4,100,16,3,GlorotNormal,softmax,0.001,adam,None
100,1.1347566843032837,4199.0,2327.0,57488.0,7764.0,0.5527877807617188,0.6434262990951538,0.3509989082813263,0.8690555691719055,1.0636628866195679,2247.0,1379.0,24256.0,2880.0,0.5196021199226379,0.6196911334991455,0.4382680058479309,0.8868187665939331,sigmoid,64,0.6,100,64,1,GlorotUniform,softmax,0.001,nadam,l2
100,1.4855018854141235,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7334825992584229,1.5100719928741455,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,128,0.2,100,16,3,GlorotNormal,softmax,0.05,adam,l1
100,1.1695071458816528,3857.0,2337.0,57478.0,8106.0,0.5307196974754333,0.6226993799209595,0.3224107623100281,0.8593935370445251,1.1550401449203491,1072.0,687.0,24948.0,4055.0,0.5096547603607178,0.6094371676445007,0.20908913016319275,0.8642919659614563,tanh,16,0.4,100,64,1,GlorotNormal,softmax,0.01,adam,l2
100,1.4866235256195068,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7333734035491943,1.509817123413086,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,256,0.6,100,128,1,GlorotNormal,softmax,0.001,nadam,l2
100,1.4855761528015137,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7327654957771301,1.510225534439087,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,64,0.2,100,128,3,GlorotNormal,softmax,0.001,nadam,None
